id,task_name,status,duration_s,overall_quality,data_purpose,nfs_path,created_at
01a0335f-de60-71e6-b3da-de78daf778b6,industrial packing,completed,45.8,good,prod,/nfs/data/sz_48/20260824/episode_20260824_104516_000_f1d1d92d.npy.mp4,2026-08-24 10:47:32.183991+00:00
01a0335c-aa10-7742-811e-af3fded54231,industrial packing,completed,53.7,good,prod,/nfs/data/sz_48/20260824/episode_20260824_104146_000_81a8b1ed.npy.mp4,2026-08-24 10:44:12.827893+00:00
01a0335b-d338-7784-a5d7-784513fb3706,industrial packing,completed,48.2,good,prod,/nfs/data/sz_48/20260824/episode_20260824_104051_000_4062acb8.npy.mp4,2026-08-24 10:43:10.551418+00:00
01a03357-7dd8-7de0-bbdf-64fb87713fa5,industrial packing,completed,50.2,good,prod,/nfs/data/sz_48/20260824/episode_20260824_103607_000_6740467a.npy.mp4,2026-08-24 10:38:29.064218+00:00
01a03356-9f30-743f-a812-5c4c7845c379,industrial packing,completed,48.4,good,prod,/nfs/data/sz_48/20260824/episode_20260824_103510_000_2afcd1c2.npy.mp4,2026-08-24 10:37:33.577541+00:00
01a03350-4248-73cf-aa6d-68af21817b10,industrial packing,completed,49.4,good,prod,/nfs/data/sz_48/20260824/episode_20260824_102813_000_f0e90477.npy.mp4,2026-08-24 10:30:32.030975+00:00
01a0334f-4078-7a41-ac01-318b9ff4da67,industrial packing,completed,55.5,good,prod,/nfs/data/sz_48/20260824/episode_20260824_102707_000_cf5c2e59.npy.mp4,2026-08-24 10:29:41.555094+00:00
01a0334e-4a60-7476-bf25-eed8d810cc8e,industrial packing,completed,55.6,good,prod,/nfs/data/sz_48/20260824/episode_20260824_102604_000_8f27124a.npy.mp4,2026-08-24 10:28:26.209494+00:00
01a0334d-5830-7c6e-873f-69e520793fef,industrial packing,completed,55.4,good,prod,/nfs/data/sz_48/20260824/episode_20260824_102502_000_20a60dc0.npy.mp4,2026-08-24 10:27:31.835034+00:00
01a0334c-6600-7fa6-bcb5-b8ae2ce48b35,industrial packing,completed,53.2,good,prod,/nfs/data/sz_48/20260824/episode_20260824_102400_000_f2e2ca33.npy.mp4,2026-08-24 10:26:31.448111+00:00
01a03346-dc08-7d23-babf-2bd5387adb29,industrial packing,completed,53.9,good,prod,/nfs/data/sz_48/20260824/episode_20260824_101757_000_faf94b7a.npy.mp4,2026-08-24 10:20:27.020398+00:00
01a03345-edc0-7090-8a9b-c4cb0c0cfef9,industrial packing,completed,51.8,good,prod,/nfs/data/sz_48/20260824/episode_20260824_101656_000_64a6b2bd.npy.mp4,2026-08-24 10:19:24.755229+00:00
01a03345-0748-748b-9473-3fd49e7641c4,industrial packing,completed,49.7,good,prod,/nfs/data/sz_48/20260824/episode_20260824_101557_000_ef9abe81.npy.mp4,2026-08-24 10:18:11.323876+00:00
01a03344-1518-71f2-9f16-bf03d1ced280,industrial packing,completed,53.4,good,prod,/nfs/data/sz_48/20260824/episode_20260824_101455_000_d0aa9e34.npy.mp4,2026-08-24 10:17:13.019904+00:00
01a03343-0f60-7d9b-82c3-3092c50804b4,industrial packing,completed,53.1,good,prod,/nfs/data/sz_48/20260824/episode_20260824_101348_000_cab5e678.npy.mp4,2026-08-24 10:16:09.745898+00:00
01a03337-c4c0-7613-bb7a-3165840a5c75,industrial packing,completed,53.7,good,prod,/nfs/data/sz_48/20260824/episode_20260824_100128_000_89a069a3.npy.mp4,2026-08-24 10:03:46.257165+00:00
01a03336-f1d0-745b-adf8-9b7754d81f60,industrial packing,completed,47.4,good,prod,/nfs/data/sz_48/20260824/episode_20260824_100034_000_946cc601.npy.mp4,2026-08-24 10:02:52.958725+00:00
