id,task_name,status,arm_type,station_type,duration_s,operator,overall_quality,annotation_quality,audit_result,data_purpose,created_at,updated_at,nfs_path
01a05c9e-37e0-71ea-9761-b65360a91d60,industrial packing,completed,yam,yam_0_61,15.9,huangrongbo,good,,,prod,2026-09-01 10:59:11.235350+00:00,2026-09-01 11:00:39.298957+00:00,/nfs/data/sz_44/20260901/episode_20260901_105748_000_772687b0.npy.mp4
01a05c69-1a38-7899-af16-3d7c284c4a69,industrial packing,completed,yam,yam_0_61,34.9,huangrongbo,poor,,,prod,2026-09-01 10:01:35.274760+00:00,2026-09-01 10:55:57.439240+00:00,/nfs/data/sz_44/20260901/episode_20260901_095947_000_1e790924.npy.mp4
01a05c83-baa0-770b-aeae-6a5822f7a2b8,industrial packing,completed,yam,yam_0_61,24.7,huangrongbo,good,,,prod,2026-09-01 10:30:26.382624+00:00,2026-09-01 10:55:18.409336+00:00,/nfs/data/sz_44/20260901/episode_20260901_102852_000_53c32059.npy.mp4
01a05c84-9948-7b7b-aee3-d62c7ce23eb6,industrial packing,completed,yam,yam_0_61,30.9,huangrongbo,good,,,prod,2026-09-01 10:31:33.823670+00:00,2026-09-01 10:55:18.365757+00:00,/nfs/data/sz_44/20260901/episode_20260901_102949_000_1ed0ef4e.npy.mp4
01a05c84-2800-7687-99bf-f0e746d05faf,industrial packing,completed,yam,yam_0_61,25.0,huangrongbo,good,,,prod,2026-09-01 10:30:57.243585+00:00,2026-09-01 10:55:18.280460+00:00,/nfs/data/sz_44/20260901/episode_20260901_102920_000_0ea14400.npy.mp4
01a05c86-1fe8-77f5-b209-12991cad2e75,industrial packing,completed,yam,yam_0_61,24.3,huangrongbo,good,,,prod,2026-09-01 10:33:04.318932+00:00,2026-09-01 10:55:17.818253+00:00,/nfs/data/sz_44/20260901/episode_20260901_103129_000_f2fec8ca.npy.mp4
01a05c88-1000-7d1d-a729-2c254f137bed,industrial packing,completed,yam,yam_0_61,25.0,huangrongbo,good,,,prod,2026-09-01 10:35:09.840836+00:00,2026-09-01 10:55:17.794145+00:00,/nfs/data/sz_44/20260901/episode_20260901_103336_000_cb8b8dd5.npy.mp4
01a05c88-eac0-7c1c-afdd-88739c6d375d,industrial packing,completed,yam,yam_0_61,26.1,huangrongbo,good,,,prod,2026-09-01 10:36:15.356303+00:00,2026-09-01 10:55:17.607905+00:00,/nfs/data/sz_44/20260901/episode_20260901_103432_000_45ec6e5d.npy.mp4
01a05c89-d138-75ba-8a43-3b9bbab3c274,industrial packing,completed,yam,yam_0_61,27.2,huangrongbo,good,,,prod,2026-09-01 10:37:06.843589+00:00,2026-09-01 10:55:17.527120+00:00,/nfs/data/sz_44/20260901/episode_20260901_103531_000_cd3c13b3.npy.mp4
01a05c8a-4668-7204-91d7-9e85f4153cb8,industrial packing,completed,yam,yam_0_61,28.8,huangrongbo,good,,,prod,2026-09-01 10:37:44.211534+00:00,2026-09-01 10:55:17.406327+00:00,/nfs/data/sz_44/20260901/episode_20260901_103601_000_23512ef6.npy.mp4
