id,task_name,status,arm_type,station_type,duration_s,operator,overall_quality,annotation_quality,audit_result,data_purpose,created_at,updated_at,nfs_path
01a0470a-3370-7b2d-97a6-f20b04c209fa,industrial packing,completed,yam,yam_0_61,26.9,huangrongbo,good,,,prod,2026-08-28 06:28:55.341462+00:00,2026-08-28 11:06:18.529110+00:00,/nfs/data/sz_44/20260828/episode_20260828_062406_000_eec88de9.npy.mp4
01a04701-8c98-7d5d-8e79-e05508318177,industrial packing,completed,yam,yam_0_61,30.6,huangrongbo,good,,,prod,2026-08-28 06:29:02.682952+00:00,2026-08-28 11:06:56.693418+00:00,/nfs/data/sz_44/20260828/episode_20260828_061439_000_03b0506a.npy.mp4
01a046fa-dda8-7ac4-8f78-c19550636a64,industrial packing,completed,yam,yam_0_61,28.6,huangrongbo,good,,,prod,2026-08-28 06:29:44.345536+00:00,2026-08-28 11:06:57.435582+00:00,/nfs/data/sz_44/20260828/episode_20260828_060721_000_7beaa3e4.npy.mp4
01a046f8-64d8-728f-80b7-6465a361c72b,industrial packing,completed,yam,yam_0_61,27.9,huangrongbo,good,,,prod,2026-08-28 06:29:50.624543+00:00,2026-08-28 11:06:58.252220+00:00,/nfs/data/sz_44/20260828/episode_20260828_060439_000_7dc69880.npy.mp4
01a046ff-a838-7362-b715-661aff0e4fc7,industrial packing,completed,yam,yam_0_61,32.4,huangrongbo,good,,,prod,2026-08-28 06:30:19.321928+00:00,2026-08-28 11:06:56.732055+00:00,/nfs/data/sz_44/20260828/episode_20260828_061235_000_9ab53a66.npy.mp4
01a04705-8ff0-7742-96a4-3cace5262913,industrial packing,completed,yam,yam_0_61,28.9,huangrongbo,good,,,prod,2026-08-28 06:30:30.639847+00:00,2026-08-28 11:06:55.295698+00:00,/nfs/data/sz_44/20260828/episode_20260828_061902_000_27223021.npy.mp4
01a04704-76b0-77ae-87df-6aa8ff22b315,industrial packing,completed,yam,yam_0_61,30.1,huangrongbo,good,,,prod,2026-08-28 06:30:45.000755+00:00,2026-08-28 11:06:55.958217+00:00,/nfs/data/sz_44/20260828/episode_20260828_061750_000_47a7fd29.npy.mp4
01a046f8-e5c0-71e1-8769-3e535423525a,industrial packing,completed,yam,yam_0_61,29.5,huangrongbo,good,,,prod,2026-08-28 06:30:58.531696+00:00,2026-08-28 11:06:58.217361+00:00,/nfs/data/sz_44/20260828/episode_20260828_060512_000_182b41fe.npy.mp4
01a04702-d4b8-7d94-91a3-2c0781b47869,industrial packing,completed,yam,yam_0_61,33.3,huangrongbo,good,,,prod,2026-08-28 06:31:13.924040+00:00,2026-08-28 11:06:56.667701+00:00,/nfs/data/sz_44/20260828/episode_20260828_061603_000_a1e1d07d.npy.mp4
01a0470b-9ad0-7b2b-887f-7f8d894ede7f,industrial packing,completed,yam,yam_0_61,27.9,huangrongbo,good,,,prod,2026-08-28 06:31:49.470009+00:00,2026-08-28 11:06:12.493725+00:00,/nfs/data/sz_44/20260828/episode_20260828_062538_000_275e7a49.npy.mp4
01a04702-1938-7bd1-9675-a06003736614,industrial packing,completed,yam,yam_0_61,26.1,huangrongbo,good,,,prod,2026-08-28 06:31:55.950031+00:00,2026-08-28 11:06:56.667259+00:00,/nfs/data/sz_44/20260828/episode_20260828_061515_000_62465b7f.npy.mp4
01a046fd-fa88-7ec6-87ca-164a52d7de14,industrial packing,completed,yam,yam_0_61,36.2,huangrongbo,good,,,prod,2026-08-28 06:32:12.292750+00:00,2026-08-28 11:06:56.886682+00:00,/nfs/data/sz_44/20260828/episode_20260828_061045_000_30e9eb71.npy.mp4
01a04703-6d10-77ff-9675-1c0f142b82d9,industrial packing,completed,yam,yam_0_61,27.6,huangrongbo,good,,,prod,2026-08-28 06:33:28.062077+00:00,2026-08-28 11:06:56.096827+00:00,/nfs/data/sz_44/20260828/episode_20260828_061642_000_c88fcb0f.npy.mp4
01a046fe-96c8-7853-8293-496683f78522,industrial packing,completed,yam,yam_0_61,31.2,huangrongbo,good,,,prod,2026-08-28 06:33:48.350613+00:00,2026-08-28 11:06:56.828466+00:00,/nfs/data/sz_44/20260828/episode_20260828_061125_000_00eee0ad.npy.mp4
01a04709-4140-78c9-b321-c9e2044d4e78,industrial packing,completed,yam,yam_0_61,26.9,huangrongbo,good,,,prod,2026-08-28 06:34:35.394531+00:00,2026-08-28 11:06:21.616470+00:00,/nfs/data/sz_44/20260828/episode_20260828_062304_000_c9e83993.npy.mp4
01a046fa-6490-7168-8cae-95ad3ffc245a,industrial packing,completed,yam,yam_0_61,26.9,huangrongbo,good,,,prod,2026-08-28 06:35:08.874493+00:00,2026-08-28 11:06:58.058680+00:00,/nfs/data/sz_44/20260828/episode_20260828_060650_000_ffcdda09.npy.mp4
01a046f2-bf88-7d38-b9df-6270a20992a5,industrial packing,completed,yam,yam_0_61,31.5,huangrongbo,good,,,prod,2026-08-28 06:35:25.131395+00:00,2026-08-28 11:07:00.077006+00:00,/nfs/data/sz_44/20260828/episode_20260828_055829_000_42e6408d.npy.mp4
01a046f3-5010-78fc-b472-90f7700fd856,industrial packing,completed,yam,yam_0_61,31.8,huangrongbo,good,,,prod,2026-08-28 06:35:51.493126+00:00,2026-08-28 11:06:59.501536+00:00,/nfs/data/sz_44/20260828/episode_20260828_055906_000_5868498c.npy.mp4
01a0471b-42a0-798d-85df-c6c085871f46,industrial packing,completed,yam,yam_0_61,27.1,huangrongbo,good,,,prod,2026-08-28 06:50:00.441038+00:00,2026-08-28 11:07:39.118913+00:00,/nfs/data/sz_44/20260828/episode_20260828_064244_000_7eaf1b95.npy.mp4
01a04717-a4d8-72a0-95d0-f9281ca3c54e,industrial packing,completed,yam,yam_0_61,30.7,huangrongbo,good,,,prod,2026-08-28 06:50:35.985546+00:00,2026-08-28 11:05:56.827177+00:00,/nfs/data/sz_44/20260828/episode_20260828_063847_000_c779da87.npy.mp4
01a04717-23f0-743a-994d-3340da31a559,industrial packing,completed,yam,yam_0_61,28.0,huangrongbo,good,,,prod,2026-08-28 06:51:07.434395+00:00,2026-08-28 11:05:57.869162+00:00,/nfs/data/sz_44/20260828/episode_20260828_063814_000_095380a0.npy.mp4
01a0470d-7f30-7651-ac36-8c7f150e979b,industrial packing,completed,yam,yam_0_61,27.8,huangrongbo,good,,,prod,2026-08-28 06:51:20.791700+00:00,2026-08-28 11:06:08.227472+00:00,/nfs/data/sz_44/20260828/episode_20260828_062742_000_7ef49535.npy.mp4
01a0471d-3e70-7c1b-8308-73501d0100b9,industrial packing,completed,yam,yam_0_61,26.0,huangrongbo,good,,,prod,2026-08-28 06:52:33.574924+00:00,2026-08-28 11:07:37.324975+00:00,/nfs/data/sz_44/20260828/episode_20260828_064454_000_95765589.npy.mp4
01a0471f-26b8-7cc9-bf19-0d77d6aa6272,industrial packing,completed,yam,yam_0_61,26.9,huangrongbo,good,,,prod,2026-08-28 06:52:40.898117+00:00,2026-08-28 11:07:36.864841+00:00,/nfs/data/sz_44/20260828/episode_20260828_064659_000_c91f05f7.npy.mp4
01a0470f-6390-771e-a6ab-de1668549dae,industrial packing,completed,yam,yam_0_61,27.3,huangrongbo,good,,,prod,2026-08-28 06:53:36.393476+00:00,2026-08-28 11:06:04.048779+00:00,/nfs/data/sz_44/20260828/episode_20260828_062946_000_ad288eb5.npy.mp4
01a0470e-ee60-7ebc-8f69-82f8ed7df9bf,industrial packing,completed,yam,yam_0_61,25.0,huangrongbo,good,,,prod,2026-08-28 06:53:42.620628+00:00,2026-08-28 11:06:05.119978+00:00,/nfs/data/sz_44/20260828/episode_20260828_062916_000_cba744ca.npy.mp4
01a0471d-bf58-75e4-bed7-e0b8579a705e,industrial packing,completed,yam,yam_0_61,25.2,huangrongbo,good,,,prod,2026-08-28 06:53:51.883400+00:00,2026-08-28 11:07:38.059354+00:00,/nfs/data/sz_44/20260828/episode_20260828_064527_000_ddbced4b.npy.mp4
01a04720-1118-7a46-81f1-cbf20458ae78,industrial packing,completed,yam,yam_0_61,26.3,huangrongbo,good,,,prod,2026-08-28 06:54:01.178812+00:00,2026-08-28 11:07:36.297382+00:00,/nfs/data/sz_44/20260828/episode_20260828_064759_000_2f52e789.npy.mp4
01a0471e-a9b8-77e8-9389-e8fe4a74641a,industrial packing,completed,yam,yam_0_61,27.2,huangrongbo,good,,,prod,2026-08-28 06:54:07.471408+00:00,2026-08-28 11:07:37.468153+00:00,/nfs/data/sz_44/20260828/episode_20260828_064627_000_1f492b88.npy.mp4
01a04715-5318-7768-bbb8-887f95025e15,industrial packing,completed,yam,yam_0_61,30.0,huangrongbo,good,,,prod,2026-08-28 06:54:34.889033+00:00,2026-08-28 11:06:00.958724+00:00,/nfs/data/sz_44/20260828/episode_20260828_063615_000_f949d50b.npy.mp4
01a0472f-ff38-7b1b-863a-ec1547c8f394,industrial packing,completed,yam,yam_0_61,26.4,huangrongbo,good,,,prod,2026-08-28 07:07:13.993695+00:00,2026-08-28 11:07:32.803947+00:00,/nfs/data/sz_44/20260828/episode_20260828_070523_000_e097e72a.npy.mp4
01a04720-8e18-7292-9f04-dda3fc4a9e7f,industrial packing,completed,yam,yam_0_61,24.9,huangrongbo,good,,,prod,2026-08-28 07:07:38.353309+00:00,2026-08-28 11:07:36.248829+00:00,/nfs/data/sz_44/20260828/episode_20260828_064831_000_c67ae476.npy.mp4
01a0472b-8e80-7ded-8c93-062ca1980eaa,industrial packing,completed,yam,yam_0_61,27.6,huangrongbo,good,,,prod,2026-08-28 07:08:16.306628+00:00,2026-08-28 11:07:34.282791+00:00,/nfs/data/sz_44/20260828/episode_20260828_070032_000_8696f379.npy.mp4
01a0472f-0150-7921-bdd3-5a48b62582fc,industrial packing,completed,yam,yam_0_61,27.6,huangrongbo,good,,,prod,2026-08-28 07:10:14.169222+00:00,2026-08-28 11:07:33.495761+00:00,/nfs/data/sz_44/20260828/episode_20260828_070418_000_4456e23a.npy.mp4
01a0472e-8068-7b1f-9495-0271b5a5b415,industrial packing,completed,yam,yam_0_61,27.8,huangrongbo,good,,,prod,2026-08-28 07:10:20.753222+00:00,2026-08-28 11:07:33.532116+00:00,/nfs/data/sz_44/20260828/episode_20260828_070345_000_779403a0.npy.mp4
01a04721-eda8-79a6-b3ac-9ea4b93bf4cf,industrial packing,completed,yam,yam_0_61,25.0,huangrongbo,good,,,prod,2026-08-28 07:10:52.368031+00:00,2026-08-28 11:07:36.091446+00:00,/nfs/data/sz_44/20260828/episode_20260828_065001_000_e593dd6b.npy.mp4
01a04720-ff60-7009-9409-b6659ddabb0d,industrial packing,completed,yam,yam_0_61,26.0,huangrongbo,good,,,prod,2026-08-28 07:11:11.869167+00:00,2026-08-28 11:07:36.147735+00:00,/nfs/data/sz_44/20260828/episode_20260828_064900_000_0dfb6898.npy.mp4
01a0471a-48a0-7b8a-8496-315478add425,industrial packing,completed,yam,yam_0_61,25.7,huangrongbo,good,,,prod,2026-08-28 07:11:43.427017+00:00,2026-08-28 11:05:51.688752+00:00,/nfs/data/sz_44/20260828/episode_20260828_064140_000_6c023964.npy.mp4
01a0472c-1738-7321-83f8-97ef5382d945,industrial packing,completed,yam,yam_0_61,26.6,huangrongbo,good,,,prod,2026-08-28 07:12:17.952683+00:00,2026-08-28 11:07:34.198195+00:00,/nfs/data/sz_44/20260828/episode_20260828_070107_000_e4f0ba64.npy.mp4
01a04722-d420-7ef7-a6dd-8ca3bff5957a,industrial packing,completed,yam,yam_0_61,27.7,huangrongbo,good,,,prod,2026-08-28 07:12:24.269750+00:00,2026-08-28 11:07:35.452816+00:00,/nfs/data/sz_44/20260828/episode_20260828_065100_000_0a6ce7c2.npy.mp4
01a0472d-ff80-72d0-a990-134330a77487,industrial packing,completed,yam,yam_0_61,28.5,huangrongbo,good,,,prod,2026-08-28 07:12:31.574460+00:00,2026-08-28 11:07:33.569297+00:00,/nfs/data/sz_44/20260828/episode_20260828_070312_000_d9ee301f.npy.mp4
01a0471e-30a0-7470-9003-9c778b46af4c,industrial packing,completed,yam,yam_0_61,25.8,huangrongbo,good,,,prod,2026-08-28 07:13:00.069313+00:00,2026-08-28 11:07:37.473448+00:00,/nfs/data/sz_44/20260828/episode_20260828_064556_000_4ec90f4a.npy.mp4
01a0472c-9050-79c1-833f-169218bd60c2,industrial packing,completed,yam,yam_0_61,26.6,huangrongbo,good,,,prod,2026-08-28 07:13:07.361369+00:00,2026-08-28 11:07:34.169965+00:00,/nfs/data/sz_44/20260828/episode_20260828_070138_000_d179d0d1.npy.mp4
01a04715-f340-77a3-9597-5cf17dfa1c7f,industrial packing,completed,yam,yam_0_61,38.7,huangrongbo,good,,,prod,2026-08-28 07:13:28.739658+00:00,2026-08-28 11:05:59.900317+00:00,/nfs/data/sz_44/20260828/episode_20260828_063656_000_f5ae6027.npy.mp4
01a0470f-e090-7040-ad5a-02f877136625,industrial packing,completed,yam,yam_0_61,27.5,huangrongbo,good,,,prod,2026-08-28 07:13:57.341260+00:00,2026-08-28 11:06:03.024631+00:00,/nfs/data/sz_44/20260828/episode_20260828_063018_000_bb202671.npy.mp4
01a04703-ea10-78e3-9063-3d0f7b15e5c1,industrial packing,completed,yam,yam_0_61,31.8,huangrongbo,good,,,prod,2026-08-28 07:14:24.314238+00:00,2026-08-28 11:06:56.019868+00:00,/nfs/data/sz_44/20260828/episode_20260828_061714_000_aa50432c.npy.mp4
01a046f7-6308-7b03-98af-4cac7d78dd2d,industrial packing,completed,yam,yam_0_61,28.4,huangrongbo,good,,,prod,2026-08-28 07:15:04.128453+00:00,2026-08-28 11:06:58.838517+00:00,/nfs/data/sz_44/20260828/episode_20260828_060333_000_a659f964.npy.mp4
01a046f7-e008-7c56-97d0-9c5ea63e38e4,industrial packing,completed,yam,yam_0_61,29.6,huangrongbo,good,,,prod,2026-08-28 07:15:25.764788+00:00,2026-08-28 11:06:58.756789+00:00,/nfs/data/sz_44/20260828/episode_20260828_060405_000_3a8e90a0.npy.mp4
01a04704-ff68-7a1e-8159-a88aacddf716,industrial packing,completed,yam,yam_0_61,30.7,huangrongbo,good,,,prod,2026-08-28 07:15:48.169461+00:00,2026-08-28 11:06:55.931488+00:00,/nfs/data/sz_44/20260828/episode_20260828_061825_000_4eb48466.npy.mp4
01a0470e-7930-760b-b85b-d15c58c74f89,industrial packing,completed,yam,yam_0_61,25.4,huangrongbo,good,,,prod,2026-08-28 07:16:05.887517+00:00,2026-08-28 11:06:06.129560+00:00,/nfs/data/sz_44/20260828/episode_20260828_062846_000_27e2e6bd.npy.mp4
01a0471c-c170-7745-936f-0e5806e24a7e,industrial packing,completed,yam,yam_0_61,25.5,huangrongbo,good,,,prod,2026-08-28 07:16:26.301397+00:00,2026-08-28 11:07:38.527872+00:00,/nfs/data/sz_44/20260828/episode_20260828_064422_000_e0fde908.npy.mp4
01a04708-c058-753c-9efd-7b0efc564314,industrial packing,completed,yam,yam_0_61,29.1,huangrongbo,good,,,prod,2026-08-28 07:16:33.625990+00:00,2026-08-28 10:34:59.475812+00:00,/nfs/data/sz_44/20260828/episode_20260828_062231_000_0a921826.npy.mp4
01a04722-5ef0-726e-a3f7-ac9ca818a939,industrial packing,completed,yam,yam_0_61,25.3,huangrongbo,good,,,prod,2026-08-28 07:16:48.970737+00:00,2026-08-28 11:07:36.068520+00:00,/nfs/data/sz_44/20260828/episode_20260828_065030_000_da06243b.npy.mp4
01a046ff-2b38-737c-aaee-62ac5a2806f3,industrial packing,completed,yam,yam_0_61,28.7,huangrongbo,good,,,prod,2026-08-28 07:17:01.308918+00:00,2026-08-28 11:06:56.813171+00:00,/nfs/data/sz_44/20260828/episode_20260828_061203_000_effdd911.npy.mp4
01a0470a-ac88-7d99-a520-5eb43edbe0da,industrial packing,completed,yam,yam_0_61,26.5,huangrongbo,good,,,prod,2026-08-28 07:17:07.605341+00:00,2026-08-28 11:06:14.056801+00:00,/nfs/data/sz_44/20260828/episode_20260828_062437_000_3a5adc9a.npy.mp4
01a0470d-fc30-7336-998c-462ff12ca03b,industrial packing,completed,yam,yam_0_61,27.3,huangrongbo,good,,,prod,2026-08-28 07:17:13.883866+00:00,2026-08-28 11:06:07.186052+00:00,/nfs/data/sz_44/20260828/episode_20260828_062814_000_02ef6fdd.npy.mp4
01a046f9-dfc0-7b0a-9568-c8dcf14d9be9,industrial packing,completed,yam,yam_0_61,29.7,huangrongbo,good,,,prod,2026-08-28 07:17:28.246834+00:00,2026-08-28 11:06:58.096404+00:00,/nfs/data/sz_44/20260828/episode_20260828_060616_000_70503dbb.npy.mp4
01a046f6-da50-7df0-b705-9c34d0f44f69,industrial packing,completed,yam,yam_0_61,30.6,huangrongbo,good,,,prod,2026-08-28 07:17:35.560245+00:00,2026-08-28 11:06:58.928548+00:00,/nfs/data/sz_44/20260828/episode_20260828_060258_000_1b9b3beb.npy.mp4
01a046f3-dcb0-729f-a5b7-02d60ac1dc2a,industrial packing,completed,yam,yam_0_61,30.8,huangrongbo,good,,,prod,2026-08-28 07:17:57.380755+00:00,2026-08-28 11:06:59.436907+00:00,/nfs/data/sz_44/20260828/episode_20260828_055942_000_388d8b5d.npy.mp4
01a04706-10d8-7bab-b5fb-c1a0697188a5,industrial packing,completed,yam,yam_0_61,28.5,huangrongbo,good,,,prod,2026-08-28 07:18:19.021085+00:00,2026-08-28 11:06:44.325300+00:00,/nfs/data/sz_44/20260828/episode_20260828_061935_000_20426d87.npy.mp4
01a0471a-bdd0-7308-8df0-35c623b80b19,industrial packing,completed,yam,yam_0_61,29.2,huangrongbo,good,,,prod,2026-08-28 07:18:47.471538+00:00,2026-08-28 11:07:39.621907+00:00,/nfs/data/sz_44/20260828/episode_20260828_064210_000_cbf34f34.npy.mp4
01a04718-3178-7c89-bed6-9b69e04a13fb,industrial packing,completed,yam,yam_0_61,33.7,huangrongbo,good,,,prod,2026-08-28 07:18:54.819913+00:00,2026-08-28 11:05:55.802847+00:00,/nfs/data/sz_44/20260828/episode_20260828_063923_000_0dc587ac.npy.mp4
01a04723-5120-7feb-bf19-7269cf751386,industrial packing,completed,yam,yam_0_61,25.9,huangrongbo,good,,,prod,2026-08-28 07:19:15.264136+00:00,2026-08-28 11:07:34.305434+00:00,/nfs/data/sz_44/20260828/episode_20260828_065132_000_7fd43ef4.npy.mp4
01a0471f-9fd0-796e-b54e-3d073b5451ad,industrial packing,completed,yam,yam_0_61,25.1,huangrongbo,good,,,prod,2026-08-28 07:19:27.237782+00:00,2026-08-28 11:07:36.802346+00:00,/nfs/data/sz_44/20260828/episode_20260828_064730_000_5abf567b.npy.mp4
01a0470c-17d0-7f32-8bc3-ec8ba0c61050,industrial packing,completed,yam,yam_0_61,24.8,huangrongbo,good,,,prod,2026-08-28 07:19:33.637054+00:00,2026-08-28 11:06:11.477299+00:00,/nfs/data/sz_44/20260828/episode_20260828_062610_000_1de3d596.npy.mp4
01a0471c-4470-7852-8f64-a99b50c24705,industrial packing,completed,yam,yam_0_61,28.1,huangrongbo,good,,,prod,2026-08-28 07:19:40.911339+00:00,2026-08-28 11:07:38.530941+00:00,/nfs/data/sz_44/20260828/episode_20260828_064350_000_6f3b3ff2.npy.mp4
01a04710-5d90-7b29-8c46-1933367d8787,industrial packing,completed,yam,yam_0_61,26.6,huangrongbo,good,,,prod,2026-08-28 07:19:55.233889+00:00,2026-08-28 11:06:01.990420+00:00,/nfs/data/sz_44/20260828/episode_20260828_063050_000_47a33e99.npy.mp4
01a04721-7490-73ac-a0a2-bc383125fdc6,industrial packing,completed,yam,yam_0_61,24.1,huangrongbo,good,,,prod,2026-08-28 07:20:00.559814+00:00,2026-08-28 11:07:36.127852+00:00,/nfs/data/sz_44/20260828/episode_20260828_064930_000_b4a0353f.npy.mp4
01a04718-cdb8-7c25-a04e-f4c779a5236a,industrial packing,completed,yam,yam_0_61,29.7,huangrongbo,good,,,prod,2026-08-28 07:20:19.038203+00:00,2026-08-28 11:05:54.763407+00:00,/nfs/data/sz_44/20260828/episode_20260828_064003_000_7c92f026.npy.mp4
01a0472d-1138-7215-979d-5c0bce594b37,industrial packing,completed,yam,yam_0_61,26.1,huangrongbo,good,,,prod,2026-08-28 07:20:39.568940+00:00,2026-08-28 11:07:33.704755+00:00,/nfs/data/sz_44/20260828/episode_20260828_070211_000_ff0cb7ed.npy.mp4
