id,task_name,status,arm_type,station_type,duration_s,operator,overall_quality,annotation_quality,audit_result,data_purpose,created_at,updated_at,nfs_path
01a0411d-4768-76b1-9190-7257516d221c,industrial packing,completed,yam,yam_zed_0_61,41.3,huangrongbo,good,,,prod,2026-08-27 02:49:14.781932+00:00,2026-08-27 11:14:44.288926+00:00,/nfs/data/sz_50/20260827/episode_20260827_024713_000_bec95c79.npy.mp4
01a0411d-fb18-716c-a086-760f945c1950,industrial packing,completed,yam,yam_zed_0_61,42.1,huangrongbo,good,,,prod,2026-08-27 02:50:00.119101+00:00,2026-08-27 11:14:43.661975+00:00,/nfs/data/sz_50/20260827/episode_20260827_024759_000_9934b9f0.npy.mp4
01a0411e-ba80-7534-8f2b-b38716ab5d2d,industrial packing,completed,yam,yam_zed_0_61,36.8,huangrongbo,good,,,prod,2026-08-27 02:50:48.414768+00:00,2026-08-27 11:14:43.464477+00:00,/nfs/data/sz_50/20260827/episode_20260827_024848_000_81d2d8dd.npy.mp4
01a0411f-5aa8-768b-ab2e-86f0a9451b18,industrial packing,completed,yam,yam_zed_0_61,41.6,huangrongbo,good,,,prod,2026-08-27 02:51:40.691732+00:00,2026-08-27 11:14:43.317275+00:00,/nfs/data/sz_50/20260827/episode_20260827_024929_000_26dc942e.npy.mp4
01a04120-0e58-7b6a-90d6-1817b3b50d6f,industrial packing,completed,yam,yam_zed_0_61,43.3,huangrongbo,good,,,prod,2026-08-27 02:52:20.958849+00:00,2026-08-27 11:14:42.680923+00:00,/nfs/data/sz_50/20260827/episode_20260827_025015_000_73ad3468.npy.mp4
01a04120-c9d8-7dd3-a5de-323c380c40cd,industrial packing,completed,yam,yam_zed_0_61,36.8,huangrongbo,good,,,prod,2026-08-27 02:52:59.229368+00:00,2026-08-27 11:14:42.518847+00:00,/nfs/data/sz_50/20260827/episode_20260827_025103_000_a45e804a.npy.mp4
01a04122-40d8-7cd0-8e46-191b3b4caa7b,industrial packing,completed,yam,yam_zed_0_61,36.1,huangrongbo,good,,,prod,2026-08-27 02:54:32.521893+00:00,2026-08-27 11:14:42.297034+00:00,/nfs/data/sz_50/20260827/episode_20260827_025239_000_539e09ff.npy.mp4
01a04122-e100-7e85-80b2-3ca93b7793a6,industrial packing,completed,yam,yam_zed_0_61,38.2,huangrongbo,good,,,prod,2026-08-27 02:55:15.794613+00:00,2026-08-27 11:14:41.718780+00:00,/nfs/data/sz_50/20260827/episode_20260827_025320_000_ad460dbb.npy.mp4
01a04123-88f8-797f-ae4a-c470377dca19,industrial packing,completed,yam,yam_zed_0_61,35.7,huangrongbo,good,,,prod,2026-08-27 02:55:59.073470+00:00,2026-08-27 11:14:41.517438+00:00,/nfs/data/sz_50/20260827/episode_20260827_025403_000_c07ab54c.npy.mp4
01a04124-2538-7b48-b180-0277b9d23545,industrial packing,completed,yam,yam_zed_0_61,37.5,huangrongbo,good,,,prod,2026-08-27 02:56:43.367090+00:00,2026-08-27 11:14:41.318840+00:00,/nfs/data/sz_50/20260827/episode_20260827_025443_000_a75768cd.npy.mp4
01a04124-c560-70b7-9d22-67370d647f66,industrial packing,completed,yam,yam_zed_0_61,38.6,huangrongbo,good,,,prod,2026-08-27 02:57:22.638266+00:00,2026-08-27 11:14:40.676510+00:00,/nfs/data/sz_50/20260827/episode_20260827_025524_000_30a47181.npy.mp4
01a04125-6d58-7c35-a631-0ef47b50f843,industrial packing,completed,yam,yam_zed_0_61,34.5,huangrongbo,good,,,prod,2026-08-27 02:58:06.908668+00:00,2026-08-27 11:14:40.464882+00:00,/nfs/data/sz_50/20260827/episode_20260827_025607_000_2e719b0c.npy.mp4
01a04126-01c8-7dd9-a41a-d3cd7980da97,industrial packing,completed,yam,yam_zed_0_61,32.2,huangrongbo,good,,,prod,2026-08-27 02:58:33.165586+00:00,2026-08-27 11:14:40.303033+00:00,/nfs/data/sz_50/20260827/episode_20260827_025645_000_9a11bf61.npy.mp4
01a04126-8e68-75fd-bf43-282ecf1ad164,industrial packing,completed,yam,yam_zed_0_61,39.6,huangrongbo,good,,,prod,2026-08-27 02:59:22.458918+00:00,2026-08-27 11:14:39.709520+00:00,/nfs/data/sz_50/20260827/episode_20260827_025721_000_1e3c3afe.npy.mp4
01a04127-3a48-7598-a682-87de6cc4469e,industrial packing,completed,yam,yam_zed_0_61,33.5,huangrongbo,good,,,prod,2026-08-27 02:59:59.743984+00:00,2026-08-27 11:14:39.473363+00:00,/nfs/data/sz_50/20260827/episode_20260827_025805_000_d1cc810b.npy.mp4
01a04127-cad0-7d7a-9c23-2a9cce2f9f8d,industrial packing,completed,yam,yam_zed_0_61,36.6,huangrongbo,good,,,prod,2026-08-27 03:00:38.011998+00:00,2026-08-27 11:14:39.319703+00:00,/nfs/data/sz_50/20260827/episode_20260827_025842_000_699a7e38.npy.mp4
01a04128-6ee0-7061-a19d-7a271858c918,industrial packing,completed,yam,yam_zed_0_61,39.1,huangrongbo,good,,,prod,2026-08-27 03:01:22.301371+00:00,2026-08-27 11:14:38.698959+00:00,/nfs/data/sz_50/20260827/episode_20260827_025924_000_9a63fe66.npy.mp4
01a04129-16d8-74c3-ad2f-cc9adb1a1860,industrial packing,completed,yam,yam_zed_0_61,38.0,huangrongbo,good,,,prod,2026-08-27 03:02:05.586185+00:00,2026-08-27 11:14:38.508210+00:00,/nfs/data/sz_50/20260827/episode_20260827_030007_000_9396e784.npy.mp4
01a04129-bae8-70d4-b2b3-4a5a35d251e6,industrial packing,completed,yam,yam_zed_0_61,33.6,huangrongbo,good,,,prod,2026-08-27 03:02:42.913569+00:00,2026-08-27 11:14:38.323351+00:00,/nfs/data/sz_50/20260827/episode_20260827_030049_000_26ceefd8.npy.mp4
01a0412a-5728-79f3-8290-d04668540aa8,industrial packing,completed,yam,yam_zed_0_61,31.7,huangrongbo,good,,,prod,2026-08-27 03:03:25.201962+00:00,2026-08-27 11:14:37.703359+00:00,/nfs/data/sz_50/20260827/episode_20260827_030129_000_34b371ed.npy.mp4
01a0412a-e3c8-71fb-97f3-1a2ce32feea1,industrial packing,completed,yam,yam_zed_0_61,33.0,huangrongbo,good,,,prod,2026-08-27 03:03:56.592358+00:00,2026-08-27 11:14:37.510088+00:00,/nfs/data/sz_50/20260827/episode_20260827_030205_000_9fabd668.npy.mp4
01a0412b-7c20-70a2-8098-041f0359866a,industrial packing,completed,yam,yam_zed_0_61,32.5,huangrongbo,good,,,prod,2026-08-27 03:04:40.163562+00:00,2026-08-27 11:14:37.336481+00:00,/nfs/data/sz_50/20260827/episode_20260827_030244_000_ff989c2f.npy.mp4
01a0412c-1090-71a5-ad5a-0efd2b62f674,industrial packing,completed,yam,yam_zed_0_61,34.2,huangrongbo,good,,,prod,2026-08-27 03:05:18.527302+00:00,2026-08-27 11:14:36.704633+00:00,/nfs/data/sz_50/20260827/episode_20260827_030322_000_3abfbea7.npy.mp4
01a0412c-a500-7a22-a9ae-439a6bd84758,industrial packing,completed,yam,yam_zed_0_61,33.5,huangrongbo,good,,,prod,2026-08-27 03:05:56.805142+00:00,2026-08-27 11:14:36.515383+00:00,/nfs/data/sz_50/20260827/episode_20260827_030400_000_b3c098a3.npy.mp4
01a0412d-3970-7989-94a6-51317319a4f8,industrial packing,completed,yam,yam_zed_0_61,35.2,huangrongbo,good,,,prod,2026-08-27 03:06:36.108830+00:00,2026-08-27 11:14:36.326030+00:00,/nfs/data/sz_50/20260827/episode_20260827_030438_000_f0650686.npy.mp4
